"Código CABYS";"Descripción del bien o servicio";"IVA";"Categoría principal";"Clasificación completa"
"0113100000000";"Arroz, para siembra (semillas)";"1";"Productos de la agricultura, silvicultura y pesca";"Productos de la agricultura, silvicultura y pesca › Productos de la agricultura, horticultura y jardinería comercial › Cereales › Arroz › Arroz, para siembra (semillas) › Arroz, para siembra (semillas) › Arroz, para siembra (semillas) › Arroz, para siembra (semillas)"
"0113200000000";"Arroz con cáscara (no descascarillado), excepto para siembra";"1";"Productos de la agricultura, silvicultura y pesca";"Productos de la agricultura, silvicultura y pesca › Productos de la agricultura, horticultura y jardinería comercial › Cereales › Arroz › Arroz con cáscara (no descascarillado), excepto para siembra › Arroz con cáscara (no descascarillado), excepto para siembra › Arroz con cáscara (no descascarillado), excepto para siembra › Arroz con cáscara (no descascarillado), excepto para siembra"
"2312000000300";"Harina de arroz";"13";"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero";"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero › Productos de molinería, almidones y productos derivados del almidón; productos alimenticios, n.c.p. › Productos de molinería › Harinas de cereales, n.c.p. › Harinas de cereales, n.c.p. › Harinas de cereales, n.c.p. › Harinas de cereales, n.c.p. › Harina de arroz"
"2313001000500";"Grañones y sémola de arroz";"13";"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero";"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero › Productos de molinería, almidones y productos derivados del almidón; productos alimenticios, n.c.p. › Productos de molinería › Granos, sémola, gránulos de trigo y otros cereales › Granos, sémola y gránulos de trigo y otros cereales › Grañones y sémola de trigo y otros cereales › Grañones y sémola de trigo y otros cereales › Grañones y sémola de arroz"
"2314000990200";"Gránulos de harina de arroz";"13";"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero";"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero › Productos de molinería, almidones y productos derivados del almidón; productos alimenticios, n.c.p. › Productos de molinería › Otros productos de cereales (incluso copos de maíz) › Otros productos de cereales (incluso copos de maíz) › Otros productos de cereales (incluso copos de maíz) › Productos de grano de cereal n.c.p. › Gránulos de harina de arroz"
"2314000991000";"Arroz precocido";"1";"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero";"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero › Productos de molinería, almidones y productos derivados del almidón; productos alimenticios, n.c.p. › Productos de molinería › Otros productos de cereales (incluso copos de maíz) › Otros productos de cereales (incluso copos de maíz) › Otros productos de cereales (incluso copos de maíz) › Productos de grano de cereal n.c.p. › Arroz precocido"
"2316100000100";"Arroz blanco, fortificado sin ningún ingrediente adicional";"1";"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero";"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero › Productos de molinería, almidones y productos derivados del almidón; productos alimenticios, n.c.p. › Productos de molinería › Arroz, semiblanqueado, blanqueado o descascarillado › Arroz blanco (semiblanqueado o blanqueado) › Arroz blanco (semiblanqueado o blanqueado) › Arroz blanco (semiblanqueado o blanqueado) › Arroz blanco, fortificado sin ningún ingrediente adicional"
"2316100000200";"Arroz blanco, con ingredientes adicionales o de los tipos: jazmín, basmati, negro, silvestre, arborio o similares";"13";"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero";"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero › Productos de molinería, almidones y productos derivados del almidón; productos alimenticios, n.c.p. › Productos de molinería › Arroz, semiblanqueado, blanqueado o descascarillado › Arroz blanco (semiblanqueado o blanqueado) › Arroz blanco (semiblanqueado o blanqueado) › Arroz blanco (semiblanqueado o blanqueado) › Arroz blanco, con ingredientes adicionales o de los tipos: jazmín, basmati, negro, silvestre, arborio o similares"
"2316200000100";"Arroz integral (descascarillado, sin blanquear), fortificado sin ningún ingrediente adicional";"1";"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero";"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero › Productos de molinería, almidones y productos derivados del almidón; productos alimenticios, n.c.p. › Productos de molinería › Arroz, semiblanqueado, blanqueado o descascarillado › Arroz integral descascarillado › Arroz integral descascarillado › Arroz integral descascarillado › Arroz integral (descascarillado, sin blanquear), fortificado sin ningún ingrediente adicional"
"2316200000200";"Arroz integral (descascarillado, sin blanquear) n.c.p.";"13";"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero";"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero › Productos de molinería, almidones y productos derivados del almidón; productos alimenticios, n.c.p. › Productos de molinería › Arroz, semiblanqueado, blanqueado o descascarillado › Arroz integral descascarillado › Arroz integral descascarillado › Arroz integral descascarillado › Arroz integral (descascarillado, sin blanquear) n.c.p."
"2349002011100";"Galletas saladas, sin congelar, excluye las galletas de arroz, de avena, integrales, extra fibra o rellenas";"1";"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero";"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero › Productos de molinería, almidones y productos derivados del almidón; productos alimenticios, n.c.p. › Productos de panadería › Pan y otros productos de panadería › Pan y productos de panadería › Productos de panadería › Productos de panadería sin congelar › Galletas saladas, sin congelar, excluye las galletas de arroz, de avena, integrales, extra fibra o rellenas"
"2449006009900";"Bebidas de semillas o frutos secos, como almendras, arroz, coco u otros (sustitutos de leche)";"13";"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero";"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero › Bebidas › Bebidas no alcohólicas, aguas minerales embotelladas › Otras bebidas calóricas, sin alcohol › Otras bebidas calóricas no alcohólicas › Bebidas a base de semillas o frutos secos (sustituto de leche) › Bebidas a base de semillas o frutos secos (sustituto de leche) › Bebidas de semillas o frutos secos, como almendras, arroz, coco u otros (sustitutos de leche)"
"3912001010300";"Salvados, moyuelos y demás residuos del cernido, de la molienda o de otros tratamientos de los cereales, incluso en ""pellets"", de arroz";"1";"Bienes transportables, excepto productos metálicos, maquinaria y equipo, n.c.p.";"Bienes transportables, excepto productos metálicos, maquinaria y equipo, n.c.p. › Desperdicios o desechos › Desperdicios de la industria alimentaria y tabacalera › Salvado y otros residuos derivados de la elaboración de cereales o leguminosas; materias, desperdicios, residuos y subproductos vegetales (incluso granulados), del tipo utilizado en la alimentación de animales, n.c.p. › Salvado y otros residuos derivados de la elaboración de cereales o leguminosas; materias, desperdicios, residuos y subproductos vegetales (incluso granulados), del tipo utilizado en la alimentación de animales, n.c.p. › Salvados, moyuelos y demás residuos del cernido, de la molienda o de otros tratamientos de los cereales o leguminosas › Salvados, moyuelos y demás residuos del cernido, de la molienda o de otros tratamientos de los cereales › Salvados, moyuelos y demás residuos del cernido, de la molienda o de otros tratamientos de los cereales, incluso en ""pellets"", de arroz"
"4451801010100";"Secadores por aire caliente, no eléctricos, para arroz y café";"13";"Productos metálicos, maquinaria y equipo";"Productos metálicos, maquinaria y equipo › Maquinaria para usos especiales › Maquinaria para la elaboración de alimentos, bebidas y tabaco, y sus partes y piezas › Maquinaria para las industrias de la alimentación, las bebidas y el tabaco › Secadores para productos agrícolas › Secadores por aire caliente, para granos y hortalizas › Secadores por aire caliente, no eléctricos, para granos y hortalizas › Secadores por aire caliente, no eléctricos, para arroz y café"
"4451801020100";"Secadores por aire caliente, eléctricos, para arroz y café";"13";"Productos metálicos, maquinaria y equipo";"Productos metálicos, maquinaria y equipo › Maquinaria para usos especiales › Maquinaria para la elaboración de alimentos, bebidas y tabaco, y sus partes y piezas › Maquinaria para las industrias de la alimentación, las bebidas y el tabaco › Secadores para productos agrícolas › Secadores por aire caliente, para granos y hortalizas › Secadores por aire caliente, eléctricos, para granos y hortalizas › Secadores por aire caliente, eléctricos, para arroz y café"
"4451899010100";"Secadores no eléctricos, para arroz, n.c.p.";"13";"Productos metálicos, maquinaria y equipo";"Productos metálicos, maquinaria y equipo › Maquinaria para usos especiales › Maquinaria para la elaboración de alimentos, bebidas y tabaco, y sus partes y piezas › Maquinaria para las industrias de la alimentación, las bebidas y el tabaco › Secadores para productos agrícolas › Secadores para productos agrícolas, n.c.p. › Secadores no eléctricos, para productos agrícolas, n.c.p. › Secadores no eléctricos, para arroz, n.c.p."
